time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.42862371029e-08,1.12884027621e-07,10.0028781952,0.000124841480575,6.28279058934,0.0,1.42960351527e-05,1.03916999907e-05,0.0959358717335,0.00594758408459,-0.02490498737,0.0,435.41373325239846,433.3256241120846,436.5949092289957,437.09072591276214
0.12000000000000001,1.44912938329e-05,5.46641888019e-06,10.0112988807,0.00113505597813,6.28129278658,0.0,0.000619351669989,0.000242623246498,0.184742595609,0.0326659041575,-0.025080404693,0.0,433.72602151139785,433.71117404916043,431.8579288423646,434.1052998861098
0.18,9.98340743928e-05,5.40040431893e-05,10.0270895068,0.00348201649731,6.28010571408,0.0,0.00237210798428,0.00161569562061,0.341576283041,0.0496184959275,-0.010875208734,0.0,454.1383088910994,455.2761111782023,453.8713106183945,455.23032350254124
0.23999999999999996,0.000315422171877,0.000243279011371,10.0528061221,0.00651531961719,6.27909782426,0.0,0.00490331695867,0.00503277902532,0.515579464044,0.0523646672142,-0.0325626481213,0.0,460.53750543371797,458.8192232734965,460.07778639162575,460.2966521920031
0.3,0.000690306488252,0.000674116826861,10.0842017359,0.00995245181923,6.27701004505,0.0,0.00777322483498,0.00962406317378,0.530930711398,0.0656522335428,-0.0396853751682,0.0,409.0548977370905,408.41957071917415,409.5822787493667,410.7646657248826
0.36000000000000004,0.00128961328691,0.00146901204254,10.1187407453,0.0140646347845,6.27573034209,0.0,0.0123731217268,0.0172768146351,0.620319021732,0.0737547839712,0.0013495382594,0.0,432.13731469335397,435.5817879790759,433.4920539801621,434.1759361490843
0.4200000000000001,0.00223007235333,0.00290156578816,10.1649056928,0.0184380524478,6.27561045493,0.0,0.0189752864677,0.0310498957244,0.91831225789,0.0711037199575,-0.00971402520892,0.0,497.5731326144784,496.76268122108803,495.391776397354,495.20035281127605
0.48000000000000015,0.00352090289863,0.00514556297407,10.2221601038,0.022689927862,6.27491637279,0.0,0.024114106876,0.0441654477998,0.99009923487,0.0703822540492,-0.0155608835944,0.0,429.32379280933907,428.82759508126827,428.5003397817594,428.44306577111365
0.5400000000000001,0.00517122055616,0.00836162066735,10.2879951822,0.0273973141746,6.27368278827,0.0,0.0310205559942,0.0635667045757,1.20418783692,0.0910403429283,-0.0331280699809,0.0,473.1303365613825,471.77605272547754,472.3228267032753,473.91752799935483
0.6000000000000002,0.00724698933121,0.0127938516371,10.3643301912,0.0332395620382,6.27123625312,0.0,0.0383997200638,0.0847789345316,1.3401414879,0.107708062408,-0.0640141366972,0.0,450.4266508718573,447.92103557117036,449.587586242789,450.94373204859494
0.6600000000000003,0.00985350089146,0.0187038592606,10.4509839331,0.0395168516502,6.2676179945,0.0,0.0489198630277,0.112964351748,1.54802414413,0.0976030462585,-0.0537633475952,0.0,470.89450817859665,471.6843414160226,472.7161323210469,471.9456973260712
0.7200000000000003,0.01309057384,0.0262396772813,10.5448685668,0.0453657543034,6.26441735818,0.0,0.0592780406246,0.138766325363,1.58138835108,0.0972381204356,-0.0525183590027,0.0,417.39038523056877,417.4969412355099,418.2841221314524,418.2611335284394
0.7800000000000004,0.0171434630402,0.0357569346833,10.6477152161,0.0516321077954,6.26081315535,0.0,0.0762282926727,0.179224843252,1.84639485629,0.115922084645,-0.0828113821245,0.0,490.91638376690975,488.66111287911673,487.8075541304174,489.2089298569282
0.8400000000000004,0.0222041530056,0.0476180527032,10.7617465545,0.0590643463299,6.25636803338,0.0,0.0929391514682,0.216880558956,1.95441382061,0.136295256684,-0.0607118123761,0.0,442.4339988689339,444.2451521457403,442.1502061917294,443.83908115825324
0.9000000000000005,0.0282902425835,0.0617560149994,10.8798886548,0.0682461483873,6.25340777808,0.0,0.110225577641,0.255185450524,1.98354091934,0.174380620276,-0.0329969359326,0.0,416.99828580267473,419.41025859633856,416.43060089063226,419.7711080415294
0.9600000000000005,0.0354689881934,0.0783815847231,10.9999439163,0.0781667908543,6.25135525402,0.0,0.129250030874,0.299947864011,2.01815720234,0.1331227071,-0.0367491140194,0.0,420.8205814588975,420.495119081203,421.6399744782452,418.0869932769187
1.0200000000000005,0.0440351726714,0.0983806388796,11.128473379,0.0860237080662,6.24956948624,0.0,0.156518175517,0.367628331277,2.26559900173,0.126206788111,-0.0185518000204,0.0,485.1949380935115,486.5588780060853,486.7131753855443,486.20941871960537
1.0800000000000005,0.0541032239874,0.122186705079,11.266712996,0.0931845321179,6.24905302494,0.0,0.179152721381,0.426621099394,2.34215171699,0.0998596535856,0.00618236582291,0.0,434.314876683203,436.3844484376554,436.71288069763654,434.5225117063424
1.1400000000000006,0.0656338852679,0.149943105808,11.4124348161,0.0990869125748,6.24963126094,0.0,0.205134010336,0.499223058331,2.51479615163,0.0952229733171,0.0157795902106,0.0,465.05053384087375,465.8015181392483,466.39732839162895,466.04287099184006
1.2000000000000006,0.0785698884579,0.181775788799,11.5643949284,0.104495898052,6.250558583,0.0,0.225974603187,0.562368815578,2.55039390485,0.0773496056099,0.0147989395191,0.0,425.5092715054282,425.42522543340084,422.51504814503875,420.97846420013303
1.2600000000000007,0.0929603815891,0.218213723534,11.7252631075,0.110480263877,6.25132398505,0.0,0.253581484011,0.652848405227,2.81117267933,0.125319627995,0.00832277292428,0.0,492.39647742504206,491.91702625449466,491.71141812465135,495.25882700236366
